date,open,close,high,low,volume,gdp_growth_pct,inflation_rate_pct,unemployment_rate_pct,interest_rate_pct,consumer_confidence,govt_debt_bln,corp_profits_bln,forex_usd_eur,forex_usd_jpy,crude_oil_price,gold_price,real_estate_index,retail_sales_bln,bankruptcy_rate_pct,ma_deals,vc_funding_bln,consumer_spending_bln,daily_volatility_pct
2000-01-02,2046.82,2036.18,2082.83,2009.53,690220415,3.19,4.95,6.62,2.19,101,16160,1008,1.0,98.22,52.84,1957.73,346.23,4156,1.4,21,5.67,10101,3.5811649290118304
2000-01-05,1998.18,1982.18,2044.31,1966.44,385306746,1.53,2.2,8.2,4.56,99,22293,3440,1.43,113.71,92.2,2210.08,405.49,1596,2.21,34,86.37,10688,3.8970463121440453
2000-01-06,2087.8,2124.76,2153.1800000000003,2085.1800000000003,82664194,1.42,6.08,3.24,1.09,88,15880,2525,1.39,140.0,60.23,2338.39,441.06,403,0.82,45,96.8,8613,3.2570169556470923
2000-01-13,1250.61,1271.27,1293.68,1216.82,90792126,8.14,2.12,13.28,2.3,116,20391,915,1.1,97.9,122.27,996.99,373.38,1138,6.33,1,53.43,8113,6.1458008491856075
2000-01-16,3129.68,3099.33,3163.53,3055.58,415077918,1.43,9.15,12.98,4.42,64,18293,2151,0.98,120.13,88.91,1317.51,267.95,7930,3.2,15,39.56,10713,3.4492344265228487
2000-01-21,3655.16,3690.95,3735.65,3607.51,992784081,-4.61,5.51,2.87,5.23,69,22031,2682,1.41,145.12,26.14,2477.43,262.86,4543,3.46,38,62.5,3790,3.5057288873811236
2000-01-22,4853.58,4870.27,4895.16,4818.44,349254868,3.48,6.27,2.11,2.26,59,625,2746,1.4,142.86,65.66,1677.52,164.4,1552,6.92,41,34.19,3259,1.5806888935589865
2000-01-25,1209.03,1230.95,1251.48,1184.81,19640512,6.29,8.33,5.12,8.79,87,7142,3375,1.26,134.97,25.82,2400.2,405.28,5280,7.38,49,42.96,3414,5.5143379403323385
2000-01-26,2675.17,2718.19,2729.69,2652.15,834168124,1.91,8.51,14.61,0.97,73,20142,446,1.34,108.27,147.48,1964.53,170.42,6773,1.93,48,60.16,2677,2.898507384577427
2000-01-27,2040.63,2043.39,2063.69,2012.31,97750245,1.44,8.03,9.76,2.03,88,9345,4254,0.86,86.43,144.29,931.07,227.28,3087,7.32,2,19.54,12464,2.517849879694021
2000-02-08,1604.99,1651.97,1694.73,1592.26,642074973,-1.4,7.77,4.84,6.36,96,18577,3182,1.45,147.14,149.81,1228.07,190.55,3216,6.05,32,88.16,11375,6.384463454600965
2000-02-10,2003.87,2046.13,2094.78,1965.1,299234285,-1.22,6.24,3.13,2.17,67,21528,846,1.24,149.77,106.93,804.16,148.43,5290,7.38,17,65.85,13524,6.471477690668571
2000-02-13,3093.56,3062.76,3095.61,3016.54,760179396,-1.33,5.99,14.59,1.42,107,20546,2956,1.48,88.09,30.19,1340.73,154.14,9546,5.08,9,23.06,10365,2.555954951576829
2000-02-14,1459.08,1475.75,1511.0,1423.46,433513212,0.65,9.61,11.77,1.65,74,15254,2441,1.35,118.95,23.79,1195.22,104.66,4719,4.11,26,70.52,490,5.999671025577759
2000-02-17,1270.67,1269.65,1306.0500000000002,1267.64,173299941,2.35,4.01,4.09,5.93,92,11921,3590,1.04,149.76,60.57,1163.88,298.06,5066,6.69,6,27.43,14002,3.022814735533229
2000-02-21,2833.2,2802.96,2839.57,2801.81,676997974,3.16,6.11,14.25,5.25,93,4461,1662,1.43,99.23,37.49,1832.18,395.24,5541,5.65,26,45.28,4346,1.332768600875343
2000-02-23,1663.1,1631.6799999999998,1711.11,1598.9499999999998,68204720,4.28,9.75,4.77,3.99,70,15553,3329,1.09,90.51,65.22,2452.7,307.75,8965,2.93,3,50.0,8754,6.744032228970001
2000-02-27,2849.18,2842.95,2866.0,2812.98,429041376,-2.03,4.55,10.69,5.35,106,12593,4822,0.8,141.09,139.36,1347.59,139.67,4571,3.58,42,46.75,13609,1.8608862900904817
2000-03-02,1249.09,1292.38,1323.9699999999998,1211.34,594469609,-0.42,9.66,3.06,5.1,89,8486,812,1.39,83.66,138.53,2215.28,281.02,2528,3.43,39,11.27,3475,9.016964350046825
2000-03-10,1658.83,1700.88,1723.34,1633.37,487813508,6.42,1.13,4.34,2.35,76,10137,1567,1.46,125.99,62.34,1001.11,442.86,3424,7.7,31,80.28,3242,5.423702247969957
2000-03-22,1108.67,1066.16,1124.36,1016.35,358434805,7.79,8.62,8.72,6.84,76,29050,3604,1.22,135.51,75.84,1386.58,361.95,969,1.3,42,35.31,6460,9.74230384153985
2000-03-24,2855.73,2889.48,2900.17,2836.65,225886856,4.33,2.59,6.5,8.2,81,12111,470,1.0,90.43,134.07,1927.74,433.38,1004,4.55,2,12.69,12363,2.224299916308614
2000-03-25,4636.88,4610.86,4642.16,4579.96,815739709,2.44,7.43,13.19,1.83,90,24024,3564,0.99,83.89,144.49,1312.48,144.31,2122,5.52,45,82.52,5616,1.3414192301720083
2000-03-28,1421.89,1448.76,1496.29,1376.64,791254083,1.14,3.28,13.86,8.58,110,26808,1047,1.01,122.06,51.11,1893.25,155.3,1394,0.71,13,9.68,11353,8.414856282834808
2000-03-30,4288.41,4296.09,4298.6900000000005,4265.889999999999,475226213,-1.83,0.45,12.07,6.79,72,8723,1555,1.47,113.02,58.52,1689.57,443.2,9155,6.1,32,29.52,214,0.7648522412735977
2000-03-31,2521.68,2483.6,2565.89,2451.27,824342099,1.49,3.86,11.78,4.51,114,10660,2648,1.4,132.83,74.71,1840.24,350.96,1656,9.83,35,77.81,10542,4.545382443450395
2000-04-01,4102.45,4056.1,4145.58,4008.46,578975920,1.28,3.43,13.72,7.44,81,19858,2522,1.37,113.66,128.48,803.6,338.95,2402,8.5,22,9.75,6761,3.3423929603042057
